,A,I,P,T,U,dates,Total,E
130,0.09507462686567164,0.3841044776119403,0.30902985074626865,0.1255223880597015,0.08626865671641791,2005Q1,13400.0,0.43455223880597016
131,0.09528457726385343,0.38354107223306805,0.3121339540471542,0.13237723381889172,0.07666316263703259,2005Q2,13318.0,0.44451118786604593
132,0.0937140225650472,0.38682938061247985,0.318059712948039,0.13232020876506256,0.0690766751093714,2005Q3,13029.0,0.45037992171310154
133,0.09478817433709234,0.363913441024078,0.3238341968911917,0.13936299908564462,0.0781011886619933,2005Q4,13124.0,0.46319719597683634
134,0.09630665097115951,0.35932901706886405,0.32460270747498526,0.14022954679223074,0.07953207769276045,2006Q1,13592.0,0.464832254267216
135,0.09607884847195632,0.3587180032617174,0.3269517124016167,0.14181379848259235,0.07643763738211728,2006Q2,14103.0,0.46876551088420904
136,0.09662045060658579,0.3633015597920277,0.3298671288272675,0.1407423454650491,0.0694685153090699,2006Q3,13848.0,0.4706094742923166
137,0.0935225880827149,0.3488723971467685,0.3395057280783918,0.1457597809640464,0.07233950572807839,2006Q4,13879.0,0.4852655090424382
138,0.09537531627776216,0.33476244025864493,0.3515603036266517,0.14267641270733764,0.0756255271296036,2007Q1,14228.0,0.4942367163339893
139,0.09435137754395681,0.3404402602796622,0.3571923023674374,0.14190779454520283,0.06610826526374083,2007Q2,14446.0,0.4991000969126402
140,0.09463394342762063,0.35232945091514145,0.3548252911813644,0.13359678313921242,0.06461453133666112,2007Q3,14424.0,0.4884220743205768
141,0.09571002841499758,0.32490124055721115,0.3614942130431769,0.14318386582576756,0.07471065215884677,2007Q4,14429.0,0.5046780788689444
142,0.09678532008830022,0.3166390728476821,0.3641694260485651,0.143901766004415,0.07850441501103753,2008Q1,14496.0,0.5080711920529801
143,0.09483053748716193,0.3131804176651832,0.36987333105100995,0.1389934953782951,0.08312221841834988,2008Q2,14605.0,0.508866826429305
144,0.09421590281612369,0.31287962451684154,0.36878796245168416,0.1354224185532855,0.08869409166206516,2008Q3,14488.0,0.5042103810049696
145,0.0920951650038373,0.28947184818251587,0.3751482592618433,0.1362589827670411,0.10702574478476244,2008Q4,14333.0,0.5114072420288844
146,0.08582193692436506,0.28146804353893384,0.3841752721183366,0.12580240022327657,0.12273234719508791,2009Q1,14332.0,0.5099776723416132
147,0.08399916626137706,0.27909400402973666,0.3885916765094143,0.1201278399221844,0.12818731327728758,2009Q2,14393.0,0.5087195164315987
148,0.08954923530990072,0.2861550845183794,0.3846927823987121,0.12127716662194794,0.11832573115105983,2009Q3,14908.0,0.5059699490206601
149,0.08794723166100339,0.2673729095875808,0.3911653008195083,0.12199347058431607,0.13152108734759144,2009Q4,15009.0,0.5131587714038244
150,0.08572002141327623,0.2623126338329764,0.39387044967880086,0.11603319057815846,0.142063704496788,2010Q1,14944.0,0.5099036402569593
151,0.08515078082929456,0.25848142164781907,0.3970786214324179,0.11557619816908993,0.14371297792137858,2010Q2,14856.0,0.5126548196015078
152,0.08165487207403375,0.270141535111595,0.39507348938486664,0.11472509526401742,0.1384050081654872,2010Q3,14696.0,0.5097985846488841
153,0.08294616015304727,0.25,0.4037988521453949,0.11553703197594971,0.14771795572560809,2010Q4,14636.0,0.5193358841213447
154,0.08347955189634229,0.2405857740585774,0.40383317586718853,0.1160750438655689,0.15602645431232284,2011Q1,14818.0,0.5199082197327575
155,0.08161734624301105,0.24144279285422066,0.40167734897040774,0.12252829674076095,0.15273421519159963,2011Q2,14666.0,0.5242056457111687
156,0.08196946774859029,0.2487965891899326,0.39698803465823135,0.1196534176867006,0.15259249071654518,2011Q3,14542.0,0.516641452344932
157,0.0857582540570789,0.22733631785114716,0.4010212646894236,0.11408785674314494,0.17179630665920537,2011Q4,14296.0,0.5151091214325686
158,0.08654763527327246,0.21732315660351642,0.4020035436827041,0.10924083412839035,0.18488483031211667,2012Q1,14674.0,0.5112443778110944
