,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,554850,549088,547758,553449,514499,542215,492067,466330,497511,429001,480791,365393
1,218982,317012,268484,300627,251775,351136,267512,335217,276558,288302,234958,236917
2,183939,218557,168895,240104,213021,239992,214849,237457,231747,270273,229322,240134
3,224575,209546,190274,172802,151855,166709,142481,155697,173473,161738,162506,185112
4,299538,242152,227867,201001,198930,170363,140937,147745,123055,127009,121065,121303
5,362538,323374,349889,300167,318837,262517,240248,202422,216878,171359,176534,129255
6,257678,246317,295481,237930,314946,219018,294135,208505,206224,161747,170849,133816
7,205201,180157,204668,198009,197686,155214,210259,184121,211406,180279,180411,155676
8,137927,122532,130135,118686,129557,107033,106868,94947,129291,137646,127781,106205
9,59231,68590,73015,88066,59918,75164,50463,68543,59519,90976,52304,80341
10,17866,34194,22608,36772,13575,49276,32172,45970,39457,30638,34038,35833
11,2380,5933,5731,11342,5485,6247,3822,7754,4301,12897,11022,13450
12,0,1490,285,529,3021,1856,166,976,245,486,0,304
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
