,2020,2020,2021,2021,2022,2022
,men,women,men,women,men,women
2,52168.24,-37912.99,89014.64,-29742.81,143415.29,-61649.16
4,30781.49,-26048.91,86840.8,4682.0,94021.38,-16778.34
6,4361.76,-19909.41,-13755.76,-6014.52,16611.01,-19965.0
8,1638.4,6028.83,26588.96,-30183.72,-7751.36,-21012.94
10,-35385.28,7713.81,-33929.91,3289.27,-28814.83,-4613.75
12,-19775.84,2264.56,-11238.2,-5714.72,-9041.62,4833.72
14,-8419.57,-22660.45,-53530.41,-3102.12,-59615.05,-18794.67
16,-16335.04,-10824.37,-12555.53,-12633.01,-17738.0,7769.02
18,-10602.57,-7797.86,-31106.15,5872.8,-1114.28,-8252.71
20,-2834.21,3472.8,-15982.16,-9525.43,-12790.3,-4362.53
22,22543.22,-3628.73,45160.31,8862.61,33937.98,641.43
24,-3170.48,-2246.42,-7834.38,-290.11,-1666.46,292.73
26,-1974.51,-560.43,-1405.91,-681.7,-1469.47,-202.67
28,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
