,2020,2020,2021,2021,2022,2022
,men,women,men,women,men,women
2,55042.39,-50755.34,111315.59,-23954.53,107553.32,-26115.03
4,31977.89,-54018.77,105558.2,-7068.24,94339.92,31501.9
6,-1202.12,-41908.83,-11890.03,-8876.95,18581.59,23562.07
8,-28314.63,-41774.32,-5615.4,-59888.78,-26814.72,-63599.8
10,-63631.52,24796.45,-54232.81,17948.29,-71192.35,-19307.06
12,-44655.47,3694.17,-1673.01,10791.59,-20221.9,30518.35
14,30460.64,-14376.71,-88472.96,-16717.08,-69822.71,-18551.11
16,-2502.79,3052.86,-9812.96,-29449.94,-26960.62,-9812.28
18,-10527.28,-14972.08,-35100.67,581.21,-260.26,-19802.92
20,1109.53,4911.73,-9596.55,-7582.39,-7713.86,-1977.69
22,24023.71,-3849.92,45544.52,9196.31,33921.38,975.13
24,-3170.48,-2246.42,-7834.38,-290.11,-2127.04,292.73
26,-1974.51,-560.43,-1405.91,-681.7,-1469.47,-202.67
28,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
