,2020,2020,2021,2021,2022,2022
,men,women,men,women,men,women
2,-2851.4,-1719.81,16664.22,-6430.22,-14916.4,6627.41
4,15712.22,-41076.45,23773.39,-22400.6,14101.92,26798.26
6,-14630.31,-22796.28,7189.3,-11144.55,3481.57,44453.73
8,-24854.86,-47785.81,-29112.64,-46350.17,-19525.66,-50304.11
10,-24861.67,11306.58,-14948.61,9650.65,-39623.1,-16208.03
12,-23162.78,5022.19,14229.55,14136.44,-5768.17,21356.08
14,30905.65,4086.85,-39815.68,-12655.52,-15375.22,1190.32
16,12930.87,16076.46,1259.15,-16881.95,-10013.54,-14223.88
18,892.82,-4336.01,-3095.13,-4005.99,-1066.21,-10949.18
20,3475.82,1438.93,5917.69,1943.04,4608.52,2384.84
22,1480.49,-554.89,384.21,0.0,-16.6,0.0
24,0.0,0.0,0.0,0.0,-460.58,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
