,2020,2020,2021,2021,2022,2022
,men,women,men,women,men,women
2,4760.7,-14863.14,17884.14,9177.6,76945.56,-5679.21
4,28916.7,-15499.42,81081.45,10833.09,77730.97,2120.71
6,3476.42,-17616.3,-30140.17,-9769.07,11166.36,-23082.0
8,-4044.83,-1785.16,18930.37,-34109.98,-16494.71,-28399.13
10,-27242.03,10370.33,-17345.18,2790.19,-22508.86,-5220.76
12,-16890.82,4333.1,-12166.26,-1177.67,-6254.39,9622.22
14,-5030.71,-20563.54,-47915.21,-8427.63,-58860.72,-22450.57
16,-13610.46,-12193.18,-23124.25,-15499.13,-17016.94,4935.12
18,-19596.86,-9309.49,-43579.44,5936.06,-13007.79,-8539.91
20,-5177.85,4998.06,-15482.41,-9372.89,-11460.92,-4423.22
22,20740.56,-3842.93,35746.42,9644.68,32822.61,1787.39
24,-3755.87,-2246.42,-8070.27,-1936.77,-3640.88,292.73
26,-1726.99,-560.43,-1405.91,80.94,-1469.47,-202.67
28,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
