,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men
2,-8977.19,-12074.92,17049.31,-12020.21,65443.65,-14572.98
4,11634.88,-16029.05,38458.7,-43724.67,-2357.52,-82746.56
6,1592.33,4625.15,-70.47,30604.39,14641.99,7352.79
8,-9379.4,-3305.25,16972.56,2069.54,3745.32,24556.5
10,-49641.56,-24285.14,-65916.35,-49123.71,-66878.22,-48036.35
12,-69685.19,-54049.67,-92269.48,-83419.98,-129461.49,-122642.51
14,-14159.54,-11092.5,-101297.96,-58525.34,-134909.09,-77131.04
16,10231.01,21731.59,-4132.17,17370.83,-21141.71,-6470.02
18,-25771.06,-4688.65,-8602.23,36800.71,-7632.22,7351.05
20,-6436.28,-1788.08,2720.81,17789.98,-4001.2,7988.79
22,17941.79,-2474.14,18463.4,-16958.39,18797.06,-13700.92
24,-2012.82,1743.05,-1183.88,6886.39,3798.14,7439.02
26,-2854.64,-1127.65,-2775.77,-1369.86,-3020.94,-1551.47
28,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
