,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,358236,372218,416874,355649,399759,318915,333167,250107,336561,233266,315732,271993
2,153093,144917,174096,159766,203154,176811,172265,144908,162050,116572,142087,114236
4,135819,118212,123077,105423,139000,123523,145189,128616,125570,106122,147297,128148
6,162783,115240,122134,76763,119036,70659,92178,73754,99236,83064,110604,81291
8,169550,152740,153595,105030,126885,79833,94343,75537,75840,49090,54339,49663
10,163902,122123,142729,130150,127262,91072,102848,91538,108184,62429,70000,44991
12,94226,88043,90151,89102,78366,73971,102973,59698,39793,70341,35597,41410
14,37784,37467,31848,47307,29366,47800,46887,51490,33510,48390,17252,44909
16,10090,20975,10805,21832,8591,19890,8720,19944,7353,22646,7096,17540
18,443,2229,2839,5325,3283,9244,1275,3293,1940,1516,0,885
20,1958,328,171,338,0,609,871,0,0,225,0,626
22,0,0,0,0,0,0,0,0,0,0,0,461
24,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
