,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,78264,105884,85795,106533,84058,122844,65911,119560,64556,94164,124109,168574
1,50783,88588,82032,89860,91977,90308,101472,115303,97451,84949,122918,119128
2,50875,86331,51409,77200,65921,73200,68619,93515,75191,92240,94828,125190
3,75754,73839,56827,55180,59032,58021,47297,48072,43803,76902,56709,84098
4,91953,90055,44428,72075,48345,57422,44154,42861,34364,40651,31150,45448
5,88466,116105,81291,87729,70195,88913,53970,68355,34081,53976,37668,46763
6,59671,59619,58657,71885,63402,63456,45395,66012,51934,60416,37541,60046
7,30783,50960,30948,54626,35083,58394,29266,64770,33057,71867,37782,56157
8,23257,40346,16581,39667,19654,27285,16444,33384,16848,18543,21982,38153
9,6672,12807,9008,22951,12662,22110,8086,12536,5324,24145,9450,23321
10,6290,9833,3155,7736,1719,9951,2244,14319,9882,8470,7669,14114
11,516,2351,2396,989,865,364,0,1746,0,1436,1897,1103
12,0,366,0,0,0,0,0,560,81,0,0,203
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
