,2020,2020,2021,2021,2022,2022
,men,women,men,women,men,women
2,2874.15,-12842.35,22300.95,5788.28,-35861.97,35534.13
4,1196.4,-27969.86,18717.4,-11750.24,318.54,48280.24
6,-5563.88,-21999.42,1865.73,-2862.43,1970.58,43527.07
8,-29953.03,-47803.15,-32204.36,-29705.06,-19063.36,-42586.86
10,-28246.24,17082.64,-20302.9,14659.02,-42377.52,-14693.31
12,-24879.63,1429.61,9565.19,16506.31,-11180.28,25684.63
14,38880.21,8283.74,-34942.55,-13614.96,-10207.66,243.56
16,13832.25,13877.23,2742.57,-16816.93,-9222.62,-17581.3
18,75.29,-7174.22,-3994.52,-5291.59,854.02,-11550.21
20,3943.74,1438.93,6385.61,1943.04,5076.44,2384.84
22,1480.49,-221.19,384.21,333.7,-16.6,333.7
24,0.0,0.0,0.0,0.0,-460.58,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
