,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
,women,men,women,men,women,men,women,men,women,men,women,men
0,228386,261039,235424,252662,236526,258624,171908,231919,160077,211917,184973,268720
1,66184,106302,103547,118959,121307,115716,121169,141627,119866,109593,141892,153079
2,59874,92445,66553,87374,79428,82914,76450,99845,88418,97919,107688,131138
3,86065,83316,63740,59656,62610,63524,56889,51774,54958,86056,69857,91784
4,99951,98590,53604,75794,55434,61895,49452,48199,39380,42551,35391,46466
5,98006,120979,90003,94610,77139,91837,59662,72095,38492,58904,41360,51223
6,61725,63531,60033,76596,67086,67445,46481,69501,58099,61561,42731,61885
7,35557,51839,33082,56278,37623,61797,31149,66147,35755,72562,41898,58303
8,25440,42360,17783,39667,20076,28496,18337,34554,17811,20358,22163,38835
9,6672,13230,9488,23613,13300,23324,8086,14638,5324,24874,9450,23837
10,6290,10520,3155,8832,1719,10768,2244,14921,9882,10069,8014,16422
11,516,2351,2396,989,865,364,0,1746,1758,1548,1897,1103
12,0,366,0,0,0,0,0,560,81,763,0,203
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
