
. sqreg wife_ten_y hub_ten_y hub_ten_y2 part_time /// 
>                 college less_hs hub_age hub_se hub_college hub_less_hs ///
>                 i.yd  if mother==1&wife==1&employed&age>=30&age<35, q(.25 .5 .75) 
(fitting base model)

Bootstrap replications (20)
----+--- 1 ---+--- 2 ---+--- 3 ---+--- 4 ---+--- 5 
......convergence not achieved
x.....convergence not achieved
x.........

Simultaneous quantile regression                    Number of obs =     63,177
  bootstrap(20) SEs                                 .25 Pseudo R2 =     0.0456
                                                    .50 Pseudo R2 =     0.0577
                                                    .75 Pseudo R2 =     0.0340

------------------------------------------------------------------------------
             |              Bootstrap
  wife_ten_y | Coefficient  std. err.      t    P>|t|     [95% conf. interval]
-------------+----------------------------------------------------------------
q25          |
   hub_ten_y |   .1713788   .0066956    25.60   0.000     .1582555    .1845021
  hub_ten_y2 |   -.006051   .0003806   -15.90   0.000    -.0067969    -.005305
   part_time |  -.6133064   .0339457   -18.07   0.000      -.67984   -.5467729
     college |   .9522588   .0425989    22.35   0.000     .8687649    1.035753
     less_hs |  -.2920859   .0553691    -5.28   0.000    -.4006094   -.1835624
     hub_age |  -.0171442   .0027032    -6.34   0.000    -.0224426   -.0118459
      hub_se |   .0449757   .0457299     0.98   0.325    -.0446549    .1346063
 hub_college |   .3802444   .0501398     7.58   0.000     .2819703    .4785184
 hub_less_hs |  -.2225681   .0520366    -4.28   0.000    -.3245599   -.1205763
             |
          yd |
       2006  |   .0191897   .0717612     0.27   0.789    -.1214624    .1598418
       2007  |   .0013046   .0621496     0.02   0.983    -.1205087    .1231179
       2008  |   .0977648   .0664533     1.47   0.141    -.0324838    .2280133
       2009  |   .4189184   .0781037     5.36   0.000     .2658351    .5720018
       2010  |   .6250057   .0711909     8.78   0.000     .4854714    .7645401
       2011  |   .9029687   .0860707    10.49   0.000     .7342699    1.071667
       2012  |   1.037158   .0783102    13.24   0.000     .8836698    1.190646
       2013  |   1.304834   .1426515     9.15   0.000     1.025236    1.584431
       2014  |   1.215829   .0921171    13.20   0.000      1.03528    1.396379
       2015  |   1.214114   .1266839     9.58   0.000     .9658137    1.462415
       2016  |   .7444302   .1028872     7.24   0.000     .5427711    .9460893
       2017  |   .4387405   .1020954     4.30   0.000     .2386334    .6388475
       2018  |   .2074043   .0814989     2.54   0.011     .0476664    .3671422
       2019  |   .1021337   .0818691     1.25   0.212    -.0583299    .2625974
       2020  |   .2650368   .0924036     2.87   0.004     .0839256     .446148
       2021  |   .0538471   .0597351     0.90   0.367    -.0632337    .1709279
       2022  |  -.0518775   .0810843    -0.64   0.522    -.2108029     .107048
             |
       _cons |   1.009791   .1036769     9.74   0.000     .8065844    1.212998
-------------+----------------------------------------------------------------
q50          |
   hub_ten_y |   .3591039   .0085793    41.86   0.000     .3422885    .3759193
  hub_ten_y2 |  -.0112475   .0005291   -21.26   0.000    -.0122844   -.0102106
   part_time |  -.9333763   .0591801   -15.77   0.000     -1.04937   -.8173832
     college |   1.058052   .0592375    17.86   0.000     .9419461    1.174157
     less_hs |   -1.24769   .1091295   -11.43   0.000    -1.461584   -1.033796
     hub_age |  -.0287698   .0055146    -5.22   0.000    -.0395783   -.0179612
      hub_se |   .1454713   .0948492     1.53   0.125    -.0404333    .3313758
